,receivetimeAEST,counts
253,2021-08-03 02:00:00,9
254,2021-08-03 03:00:00,22
255,2021-08-03 04:00:00,12
256,2021-08-03 05:00:00,20
257,2021-08-03 06:00:00,32
258,2021-08-03 07:00:00,45
259,2021-08-03 08:00:00,55
260,2021-08-03 09:00:00,58
261,2021-08-03 10:00:00,78
262,2021-08-03 11:00:00,83
263,2021-08-03 12:00:00,102
264,2021-08-03 13:00:00,115
265,2021-08-03 14:00:00,108
266,2021-08-03 15:00:00,92
267,2021-08-03 16:00:00,78
268,2021-08-03 17:00:00,60
269,2021-08-03 18:00:00,74
270,2021-08-03 19:00:00,87
271,2021-08-03 20:00:00,85
272,2021-08-03 21:00:00,91
273,2021-08-03 22:00:00,86
274,2021-08-03 23:00:00,74
275,2021-08-04 00:00:00,47
276,2021-08-04 01:00:00,35
277,2021-08-04 02:00:00,14
278,2021-08-04 03:00:00,17
279,2021-08-04 04:00:00,20
280,2021-08-04 05:00:00,26
281,2021-08-04 06:00:00,31
282,2021-08-04 07:00:00,61
283,2021-08-04 08:00:00,59
284,2021-08-04 09:00:00,63
285,2021-08-04 10:00:00,52
286,2021-08-04 11:00:00,89
287,2021-08-04 12:00:00,91
288,2021-08-04 13:00:00,89
289,2021-08-04 14:00:00,99
290,2021-08-04 15:00:00,84
291,2021-08-04 16:00:00,87
292,2021-08-04 17:00:00,61
293,2021-08-04 18:00:00,66
294,2021-08-04 19:00:00,79
295,2021-08-04 20:00:00,95
296,2021-08-04 21:00:00,88
297,2021-08-04 22:00:00,92
298,2021-08-04 23:00:00,67
299,2021-08-05 00:00:00,51
300,2021-08-05 01:00:00,31
301,2021-08-05 02:00:00,15
302,2021-08-05 03:00:00,18
303,2021-08-05 04:00:00,18
304,2021-08-05 05:00:00,20
305,2021-08-05 06:00:00,39
306,2021-08-05 07:00:00,47
307,2021-08-05 08:00:00,57
308,2021-08-05 09:00:00,51
309,2021-08-05 10:00:00,72
310,2021-08-05 11:00:00,85
311,2021-08-05 12:00:00,107
312,2021-08-05 13:00:00,85
313,2021-08-05 14:00:00,95
314,2021-08-05 15:00:00,76
315,2021-08-05 16:00:00,71
316,2021-08-05 17:00:00,65
317,2021-08-05 18:00:00,83
318,2021-08-05 19:00:00,65
319,2021-08-05 20:00:00,79
320,2021-08-05 21:00:00,86
321,2021-08-05 22:00:00,75
322,2021-08-05 23:00:00,73
323,2021-08-06 00:00:00,49
324,2021-08-06 01:00:00,35
325,2021-08-06 02:00:00,14
326,2021-08-06 03:00:00,16
327,2021-08-06 04:00:00,17
328,2021-08-06 05:00:00,27
329,2021-08-06 06:00:00,27
330,2021-08-06 07:00:00,43
331,2021-08-06 08:00:00,63
332,2021-08-06 09:00:00,71
333,2021-08-06 10:00:00,22
334,2021-08-06 11:00:00,75
335,2021-08-06 12:00:00,76
336,2021-08-06 13:00:00,87
337,2021-08-06 14:00:00,69
338,2021-08-06 15:00:00,83
339,2021-08-06 16:00:00,63
340,2021-08-06 17:00:00,54
341,2021-08-06 18:00:00,56
342,2021-08-06 19:00:00,67
343,2021-08-06 20:00:00,65
344,2021-08-06 21:00:00,67
345,2021-08-06 22:00:00,55
346,2021-08-06 23:00:00,48
347,2021-08-07 00:00:00,28
348,2021-08-07 01:00:00,26
349,2021-08-07 02:00:00,18
350,2021-08-07 03:00:00,12
351,2021-08-07 04:00:00,10
352,2021-08-07 05:00:00,10
353,2021-08-07 06:00:00,22
354,2021-08-07 07:00:00,20
355,2021-08-07 08:00:00,28
356,2021-08-07 09:00:00,17
357,2021-08-07 10:00:00,16
358,2021-08-07 11:00:00,24
359,2021-08-07 12:00:00,20
360,2021-08-07 13:00:00,34
361,2021-08-07 14:00:00,34
362,2021-08-07 15:00:00,35
363,2021-08-07 16:00:00,25
364,2021-08-07 17:00:00,19
365,2021-08-07 18:00:00,30
366,2021-08-07 19:00:00,16
367,2021-08-07 20:00:00,21
368,2021-08-07 21:00:00,11
369,2021-08-07 22:00:00,11
370,2021-08-07 23:00:00,8
371,2021-08-08 00:00:00,6
372,2021-08-08 01:00:00,6
373,2021-08-08 02:00:00,4
374,2021-08-08 03:00:00,3
375,2021-08-08 04:00:00,6
376,2021-08-08 05:00:00,8
377,2021-08-08 06:00:00,3
378,2021-08-08 07:00:00,8
379,2021-08-08 08:00:00,13
380,2021-08-08 09:00:00,19
381,2021-08-08 11:00:00,26
382,2021-08-08 12:00:00,25
383,2021-08-08 13:00:00,31
384,2021-08-08 14:00:00,30
385,2021-08-08 15:00:00,31
386,2021-08-08 16:00:00,37
387,2021-08-08 17:00:00,29
388,2021-08-08 18:00:00,38
389,2021-08-08 19:00:00,18
390,2021-08-08 20:00:00,17
391,2021-08-08 21:00:00,17
392,2021-08-08 22:00:00,9
